1498,0.01851,0.8952,0.02847,444.2,116.1,0.0985,11.96,1.175,0.002646,0.0001511,0.00161,0,0,0,0,0,0,0,0,0
1499,0.01846,0.8963,0.02838,453.1,117.5,0.09749,11.93,1.183,0.00261,0.0001431,0.001591,0,0,0,0,0,0,0,0,0
1500,0.01841,0.8974,0.0283,461.9,118.9,0.09653,11.91,1.19,0.002577,0.0001356,0.001573,0,0,0,0,0,0,0,0,0
1501,0.01837,0.8985,0.02822,470.7,120.3,0.09561,11.88,1.198,0.002545,0.0001286,0.001556,0,0,0,0,0,0,0,0,0
1502,0.01834,0.8996,0.02815,479.5,121.7,0.09473,11.85,1.206,0.002516,0.0001221,0.00154,0,0,0,0,0,0,0,0,0
1503,0.01831,0.9006,0.02809,488.3,123.2,0.0939,11.83,1.215,0.002488,0.000116,0.001525,0,0,0,0,0,0,0,0,0
1504,0.01828,0.9016,0.02803,497.1,124.6,0.0931,11.8,1.224,0.002462,0.0001104,0.00151,0,0,0,0,0,0,0,0,0
1505,0.01826,0.9026,0.02798,505.9,126.1,0.09235,11.77,1.233,0.002437,0.0001051,0.001497,0,0,0,0,0,0,0,0,0
1506,0.01834,0.9031,0.02808,510.8,127.6,0.09239,11.75,1.25,0.002447,0.0001027,0.001497,0,0,0,0,0,0,0,0,0
1507,0.01851,0.9032,0.02831,512.3,129.1,0.09304,11.74,1.273,0.002485,0.0001023,0.001509,0,0,0,0,0,0,0,0,0
1508,0.01867,0.9033,0.02857,513.5,130.6,0.09375,11.74,1.298,0.002527,0.000102,0.001522,0,0,0,0,0,0,0,0,0
1509,0.01884,0.9035,0.02883,514.7,132.1,0.09449,11.74,1.323,0.00257,0.0001018,0.001536,0,0,0,0,0,0,0,0,0
1510,0.019,0.9036,0.02909,515.9,133.7,0.09526,11.74,1.349,0.002614,0.0001017,0.00155,0,0,0,0,0,0,0,0,0
1511,0.01916,0.9037,0.02934,517.1,135.2,0.09606,11.74,1.375,0.002659,0.0001017,0.001565,0,0,0,0,0,0,0,0,0
1512,0.01932,0.9039,0.0296,518.3,136.8,0.0969,11.75,1.402,0.002706,0.0001017,0.00158,0,0,0,0,0,0,0,0,0
1513,0.01948,0.904,0.02985,519.6,138.4,0.09776,11.75,1.43,0.002753,0.0001018,0.001596,0,0,0,0,0,0,0,0,0
1514,0.01964,0.9041,0.0301,520.8,140,0.09866,11.75,1.459,0.002802,0.0001019,0.001613,0,0,0,0,0,0,0,0,0
1515,0.0198,0.9042,0.03035,522,141.6,0.09959,11.75,1.489,0.002852,0.0001021,0.00163,0,0,0,0,0,0,0,0,0
1516,0.01996,0.9044,0.0306,523.2,143.2,0.1005,11.75,1.519,0.002903,0.0001024,0.001648,0,0,0,0,0,0,0,0,0
1517,0.02011,0.9045,0.03085,524.4,144.8,0.1015,11.75,1.55,0.002955,0.0001028,0.001666,0,0,0,0,0,0,0,0,0
1518,0.02027,0.9046,0.03109,525.6,146.4,0.1026,11.75,1.581,0.003008,0.0001032,0.001686,0,0,0,0,0,0,0,0,0
1519,0.02042,0.9047,0.03133,526.8,148.1,0.1036,11.76,1.614,0.003063,0.0001037,0.001706,0,0,0,0,0,0,0,0,0
1520,0.02057,0.9048,0.03157,528,149.7,0.1047,11.76,1.647,0.003119,0.0001043,0.001726,0,0,0,0,0,0,0,0,0
1521,0.02072,0.905,0.0318,529.2,151.4,0.1059,11.76,1.681,0.003176,0.000105,0.001747,0,0,0,0,0,0,0,0,0
1522,0.02086,0.9051,0.03203,530.4,153,0.107,11.76,1.716,0.003235,0.0001057,0.00177,0,0,0,0,0,0,0,0,0
